Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
CLINICAL PSYCHOLOGY REVIEW	Clin. Psychol. Rev.	Clin Psychol Rev	"Clin Psychol Rev,9.904"
Journal of Materials Chemistry A	#N/A	Journal Of Materials Chemistry A	"Journal Of Materials Chemistry A,10.733"
CURRENT BIOLOGY	Curr. Biol.	Curr Biol	"Curr Biol,9.193"
National Science Review	#N/A	National Science Review	"National Science Review,13.222"
JACC-Cardiovascular Interventions	#N/A	Jacc-Cardiovascular Interventions	"Jacc-Cardiovascular Interventions,9.544"
Molecular Plant	#N/A	Molecular Plant	"Molecular Plant,10.812"
Cold Spring Harbor Perspectives in Biology	Cold Spring Harb. Perspect. Biol.	Cold Spring Harb Perspect Biol	"Cold Spring Harb Perspect Biol,9.110"
MEDICINAL RESEARCH REVIEWS	Med. Res. Rev.	Med Res Rev	"Med Res Rev,9.791"
ECOLOGICAL MONOGRAPHS	Ecol. Monogr.	Ecol Monogr	"Ecol Monogr,7.698"
Annual Review of Genetics	Annu. Rev. Genet.	Annu Rev Genet	"Annu Rev Genet,9.184"
Theranostics	#N/A	Theranostics	"Theranostics,8.063"
PLANT CELL	Plant Cell	Plant Cell	"Plant Cell,8.631"
DIABETES	Diabetes	Diabetes	"Diabetes,7.199"
Chemical Science	#N/A	Chemical Science	"Chemical Science,9.556"
Soft Robotics	#N/A	Soft Robotics	"Soft Robotics,6.403"
Small	#N/A	Small	"Small,10.856"
PROGRESS IN SURFACE SCIENCE	#N/A	Prog Surf Sci	"Prog Surf Sci,8.762"
INTERNATIONAL MATERIALS REVIEWS	#N/A	Int Mater Rev	"Int Mater Rev,21.086"
Autophagy	#N/A	Autophagy	"Autophagy,11.059"
CANCER TREATMENT REVIEWS	Cancer Treat. Rev.	Cancer Treat Rev	"Cancer Treat Rev,8.332"
Particle and Fibre Toxicology	Part. Fibre Toxicol.	Part Fibre Toxicol	"Part Fibre Toxicol,6.561"
EMBO REPORTS	#N/A	Embo Rep	"Embo Rep,8.383"
GLOBAL CHANGE BIOLOGY	Global Change Biol.	Glob Chang Biol	"Glob Chang Biol,8.880"
Microbiome	#N/A	Microbiome	"Microbiome,10.465"
JACC-Heart Failure	#N/A	Jacc-Heart Failure	"Jacc-Heart Failure,8.910"
PHYSICAL REVIEW LETTERS	Phys. Rev. Lett.	Phys Rev Lett	"Phys Rev Lett,9.227"
TRAC-TRENDS IN ANALYTICAL CHEMISTRY	#N/A	Trac-Trend Anal Chem	"Trac-Trend Anal Chem,8.428"
Laser & Photonics Reviews	#N/A	Laser & Photonics Reviews	"Laser & Photonics Reviews,9.056"
Cell Systems	#N/A	Cell Systems	"Cell Systems,8.640"
BIOMATERIALS	Biomaterials	Biomaterials	"Biomaterials,10.273"
KIDNEY INTERNATIONAL	Kidney Int.	Kidney Int	"Kidney Int,8.306"
CURRENT OPINION IN IMMUNOLOGY	Curr. Opin. Immunol.	Curr Opin Immunol	"Curr Opin Immunol,7.667"
CELL DEATH AND DIFFERENTIATION	Cell Death Differ.	Cell Death Differ	"Cell Death Differ,8.086"
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	#N/A	Ieee Trans Patt Anal Mach Int	"Ieee Trans Patt Anal Mach Int,17.730"
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	Neurosci. Biobehav. Rev.	Neurosci Biobehav Rev	"Neurosci Biobehav Rev,8.002"
Cancer Immunology Research	#N/A	Cancer Immunology Research	"Cancer Immunology Research,8.619"
Cell Reports	#N/A	Cell Reports	"Cell Reports,7.815"
THORAX	Thorax	Thorax	"Thorax,9.640"
GENETICS IN MEDICINE	Genet. Med.	Genet Med	"Genet Med,8.683"
ASTRONOMY AND ASTROPHYSICS REVIEW	#N/A	Astron Astrophys Rev	"Astron Astrophys Rev,15.143"
EMERGING INFECTIOUS DISEASES	Emerging Infect. Dis.	Emerg Infect Dis	"Emerg Infect Dis,7.185"
INTERNATIONAL JOURNAL OF COMPUTER VISION	#N/A	Int J Comput Vision	"Int J Comput Vision,6.071"
CLINICAL INFECTIOUS DISEASES	Clin. Infect. Dis.	Clin Infect Dis	"Clin Infect Dis,9.055"
OPHTHALMOLOGY	Ophthalmology	Ophthalmology	"Ophthalmology,7.732"
ALDRICHIMICA ACTA	#N/A	Aldrichim Acta	"Aldrichim Acta,4.455"
PROGRESS IN CARDIOVASCULAR DISEASES	Prog. Cardiovasc. Dis.	Prog Cardiovasc Dis	"Prog Cardiovasc Dis,6.162"
METABOLIC ENGINEERING	Metab. Eng.	Metab Eng	"Metab Eng,7.808"
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS	#N/A	Ieee J Sel Area Commun	"Ieee J Sel Area Commun,9.302"
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	#N/A	Renew Sustain Energy Rev	"Renew Sustain Energy Rev,10.556"
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	Front. Ecol. Environ.	Front Ecol Environ	"Front Ecol Environ,10.935"
CLINICAL CHEMISTRY	Clin. Chem.	Clin Chem	"Clin Chem,6.891"
JAMA Surgery	JAMA Surg.	JAMA Surg	"JAMA Surg,10.668"
JOURNAL OF CELL BIOLOGY	J. Cell Biol.	J Cell Biol	"J Cell Biol,8.891"
Applied Mechanics Reviews	#N/A	Applied Mechanics Reviews	"Applied Mechanics Reviews,6.138"
BMC Medicine	BMC Med.	BMC Med	"BMC Med,8.285"
CURRENT OPINION IN CHEMICAL BIOLOGY	Curr. Opin. Chem. Biol.	Curr Opin Chem Biol	"Curr Opin Chem Biol,8.544"
Obesity Reviews	Obes. Rev.	Obes Rev	"Obes Rev,8.192"
Liver Cancer	#N/A	Liver Cancer	"Liver Cancer,5.944"
JOURNAL OF CONTROLLED RELEASE	J. Controlled Release	J Control Release	"J Control Release,7.901"
NEURO-ONCOLOGY	Neuro Oncol.	Neuro Oncol	"Neuro Oncol,10.091"
BIOSENSORS & BIOELECTRONICS	#N/A	Biosens Bioelectron	"Biosens Bioelectron,9.518"
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	Int. J. Epidemiol.	Int J Epidemiol	"Int J Epidemiol,7.339"
Nature Reviews Urology	#N/A	Nature Reviews Urology	"Nature Reviews Urology,9.333"
JOURNAL OF MANAGEMENT	#N/A	J Manage	"J Manage,9.056"
Optica	#N/A	Optica	"Optica,9.263"
eLife	#N/A	Elife	"Elife,7.551"
OncoImmunology	#N/A	Oncoimmunology	"Oncoimmunology,5.333"
HAEMATOLOGICA	Haematologica	Haematologica	"Haematologica,7.570"
IEEE TRANSACTIONS ON FUZZY SYSTEMS	#N/A	Ieee Trans Fuzzy Syst	"Ieee Trans Fuzzy Syst,8.759"
JOURNAL OF AUTOIMMUNITY	J. Autoimmun.	J Autoimmun	"J Autoimmun,7.543"
PSYCHOLOGICAL REVIEW	Psychol. Rev.	Psychol Rev	"Psychol Rev,6.266"
PSYCHOLOGICAL REVIEW	Psychol. Rev.	Psychol Rev	"Psychol Rev,6.266"
AMERICAN JOURNAL OF KIDNEY DISEASES	Am. J. Kidney Dis.	Am J Kidney Dis	"Am J Kidney Dis,6.653"
EXERCISE IMMUNOLOGY REVIEW	Exerc. Immunol. Rev.	Exerc Immunol Rev	"Exerc Immunol Rev,6.455"
JOURNAL OF INTERNAL MEDICINE	J. Intern. Med.	J Intern Med	"J Intern Med,6.051"
IEEE Internet of Things Journal	#N/A	Ieee Internet Of Things Journal	"Ieee Internet Of Things Journal,9.515"
NEUROLOGY	Neurology	Neurology	"Neurology,8.689"
Annual Review of Genomics and Human Genetics	#N/A	Annu Rev Genomic Hum Genet	"Annu Rev Genomic Hum Genet,7.914"
SCHIZOPHRENIA BULLETIN	Schizophr. Bull.	Schizophr Bull	"Schizophr Bull,7.289"
SCHIZOPHRENIA BULLETIN	Schizophr. Bull.	Schizophr Bull	"Schizophr Bull,7.289"
ONCOGENE	Oncogene	Oncogene	"Oncogene,6.634"
PERSOONIA	Persoonia	Persoonia	"Persoonia,6.860"
ACS Applied Materials & Interfaces	#N/A	Acs Applied Materials & Interfaces	"Acs Applied Materials & Interfaces,8.456"
SPACE SCIENCE REVIEWS	#N/A	Space Sci Rev	"Space Sci Rev,8.142"
ACS Central Science	#N/A	Acs Central Science	"Acs Central Science,12.837"
Mucosal Immunology	Mucosal Immunol.	Mucosal Immunol	"Mucosal Immunol,7.352"
AGEING RESEARCH REVIEWS	#N/A	Ageing Res Rev	"Ageing Res Rev,10.390"
PLANT BIOTECHNOLOGY JOURNAL	Plant Biotechnol. J.	Plant Biotechnol J	"Plant Biotechnol J,6.840"
Annual Review of Analytical Chemistry	#N/A	Annual Review Of Analytical Chemistry	"Annual Review Of Analytical Chemistry,8.721"
ACADEMY OF MANAGEMENT JOURNAL	Acad. Manage. J.	Acad Manage J	"Acad Manage J,7.191"
MATRIX BIOLOGY	Matrix Biol.	Matrix Biol	"Matrix Biol,6.986"
Clinical Gastroenterology and Hepatology	Clin. Gastroenterol. Hepatol.	Clin Gastroenterol Hepatol	"Clin Gastroenterol Hepatol,7.958"
NEUROSCIENTIST	Neuroscientist	Neuroscientist	"Neuroscientist,6.791"
IEEE Transactions on Cybernetics	#N/A	Ieee Transactions On Cybernetics	"Ieee Transactions On Cybernetics,10.387"
Nanoscale	#N/A	Nanoscale	"Nanoscale,6.970"
ALLERGY	Allergy	Allergy	"Allergy,6.771"
Perspectives on Psychological Science	Perspect. Psychol. Sci.	Perspect Psychol Sci	"Perspect Psychol Sci,8.190"
CURRENT OPINION IN PLANT BIOLOGY	Curr. Opin. Plant Biol.	Curr Opin Plant Biol	"Curr Opin Plant Biol,7.508"
Nano Research	#N/A	Nano Research	"Nano Research,8.515"
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	#N/A	J Neurol Neurosurg Psychiat	"J Neurol Neurosurg Psychiat,8.272"
Stem Cell Reports	#N/A	Stem Cell Reports	"Stem Cell Reports,5.499"
Molecular Ecology Resources	Mol. Ecol. Resour.	Mol Ecol Resour	"Mol Ecol Resour,7.049"
NEW PHYTOLOGIST	New Phytol.	New Phytol	"New Phytol,7.299"
Annual Review of Food Science and Technology	Annu. Rev. Food Sci. Technol.	Annu Rev Food Sci Technol	"Annu Rev Food Sci Technol,8.511"
BIOINFORMATICS	Bioinformatics	Bioinformatics	"Bioinformatics,4.531"
RADIOLOGY	Radiology	Radiology	"Radiology,7.608"
ALIMENTARY PHARMACOLOGY & THERAPEUTICS	#N/A	Aliment Pharmacol Therapeut	"Aliment Pharmacol Therapeut,7.731"
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	#N/A	Bull Amer Meteorol Soc	"Bull Amer Meteorol Soc,8.166"
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	Eur. J. Nucl. Med. Mol. Imag.	Eur J Nucl Med Mol Imaging	"Eur J Nucl Med Mol Imaging,7.182"
MIS QUARTERLY	#N/A	Mis Quart	"Mis Quart,4.373"
MIS QUARTERLY	#N/A	Mis Quart	"Mis Quart,4.373"
CLINICAL PHARMACOLOGY & THERAPEUTICS	#N/A	Clin Pharmacol Ther	"Clin Pharmacol Ther,6.336"
Health Psychology Review	Health Psychol. Rev.	Health Psychol Rev	"Health Psychol Rev,9.070"
IEEE NETWORK	#N/A	Ieee Network	"Ieee Network,7.503"
ChemSusChem	#N/A	Chemsuschem	"Chemsuschem,7.804"
EUROPEAN JOURNAL OF EPIDEMIOLOGY	Eur. J. Epidemiol.	Eur J Epidemiol	"Eur J Epidemiol,6.529"
ADVANCES IN COLLOID AND INTERFACE SCIENCE	Adv. Colloid Interface Sci.	Adv Colloid Interface Sci	"Adv Colloid Interface Sci,8.243"
Eurosurveillance	#N/A	Eurosurveillance	"Eurosurveillance,7.421"
Circulation-Cardiovascular Interventions	#N/A	Circulation-Cardiovascular Interventions	"Circulation-Cardiovascular Interventions,6.060"
APPLIED ENERGY	#N/A	Appl Energ	"Appl Energ,8.426"
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS	#N/A	Ieee Trans Ind Electron	"Ieee Trans Ind Electron,7.503"
EPIDEMIOLOGIC REVIEWS	Epidemiol. Rev.	Epidemiol Rev	"Epidemiol Rev,6.455"
IEEE TRANSACTIONS ON POWER ELECTRONICS	#N/A	Ieee Trans Power Elect	"Ieee Trans Power Elect,7.224"
Lancet Haematology	#N/A	Lancet Haematology	"Lancet Haematology,11.990"
JOURNAL OF HEART AND LUNG TRANSPLANTATION	J. Heart Lung Transplant.	J Heart Lung Transplant	"J Heart Lung Transplant,8.578"
ENVIRONMENT INTERNATIONAL	Environ. Int.	Environ Int	"Environ Int,7.943"
MOVEMENT DISORDERS	Mov. Disord.	Mov Disord	"Mov Disord,8.061"
Genome Medicine	Genome Med.	Genome Med	"Genome Med,10.886"
Clinical Epidemiology	Clin. Epidemiol.	Clin Epidemiol	"Clin Epidemiol,3.178"
EARTH-SCIENCE REVIEWS	Earth-Sci. Rev.	Earth-Sci Rev	"Earth-Sci Rev,9.530"
CRITICAL CARE MEDICINE	Crit. Care Med.	Crit Care Med	"Crit Care Med,6.971"
Conservation Letters	#N/A	Conservation Letters	"Conservation Letters,7.397"
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY	J. Am. Acad. Dermatol.	J Am Acad Dermatol	"J Am Acad Dermatol,7.102"
Oceanography and Marine Biology	#N/A	Oceanogr Mar Biol	"Oceanogr Mar Biol,6.286"
EUROPEAN JOURNAL OF HEART FAILURE	Eur. J. Heart Fail.	Eur J Heart Fail	"Eur J Heart Fail,13.965"
GONDWANA RESEARCH	#N/A	Gondwana Res	"Gondwana Res,6.478"
Annual Review of Organizational Psychology and Organizational Behavior	#N/A	Annual Review Of Organizational Psychology And Organizational Behavior	"Annual Review Of Organizational Psychology And Organizational Behavior,7.179"
mBio	#N/A	Mbio	"Mbio,6.747"
JOURNAL OF INFORMATION TECHNOLOGY	#N/A	J Inform Technol	"J Inform Technol,3.125"
JOURNAL OF INFORMATION TECHNOLOGY	#N/A	J Inform Technol	"J Inform Technol,3.125"
Comprehensive Physiology	#N/A	Comprehensive Physiology	"Comprehensive Physiology,6.246"
WATER RESEARCH	Water Res.	Water Res	"Water Res,7.913"
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	#N/A	Curr Opin Solid State Mat Sci	"Curr Opin Solid State Mat Sci,8.418"
2D Materials	#N/A	2D Materials	"2D Materials,7.343"
CURRENT OPINION IN STRUCTURAL BIOLOGY	Curr. Opin. Struct. Biol.	Curr Opin Struct Biol	"Curr Opin Struct Biol,7.052"
AMERICAN JOURNAL OF CLINICAL NUTRITION	Am. J. Clin. Nutr.	Am J Clin Nutr	"Am J Clin Nutr,6.568"
Arthritis & Rheumatology	#N/A	Arthritis & Rheumatology	"Arthritis & Rheumatology,9.002"
JOURNAL OF PATHOLOGY	J. Pathol.	J Pathol	"J Pathol,5.942"
Advanced Optical Materials	#N/A	Advanced Optical Materials	"Advanced Optical Materials,7.125"
GigaScience	#N/A	Gigascience	"Gigascience,4.688"
HYPERTENSION	Hypertension	Hypertension	"Hypertension,7.017"
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	J. Am. Soc. Echocardiogr.	J Am Soc Echocardiogr	"J Am Soc Echocardiogr,6.111"
JOURNAL OF SERVICE RESEARCH	#N/A	J Serv Res	"J Serv Res,4.071"
JOURNAL OF CATALYSIS	#N/A	J Catal	"J Catal,7.723"
SPORTS MEDICINE	Sports Med.	Sports Med	"Sports Med,7.583"
CRITICAL REVIEWS IN PLANT SCIENCES	Crit. Rev. Plant Sci.	Crit Rev Plant Sci	"Crit Rev Plant Sci,4.189"
Circulation-Cardiovascular Imaging	#N/A	Circulation-Cardiovascular Imaging	"Circulation-Cardiovascular Imaging,5.813"
Advances in Catalysis	#N/A	Advan Catal	"Advan Catal,5.857"
Molecular Metabolism	#N/A	Molecular Metabolism	"Molecular Metabolism,6.181"
CYTOKINE & GROWTH FACTOR REVIEWS	Cytokine Growth Factor Rev.	Cytokine Growth Factor Rev	"Cytokine Growth Factor Rev,5.458"
ACTA PSYCHIATRICA SCANDINAVICA	Acta Psychiatr. Scand.	Acta Psychiatr Scand	"Acta Psychiatr Scand,4.694"
ACTA PSYCHIATRICA SCANDINAVICA	Acta Psychiatr. Scand.	Acta Psychiatr Scand	"Acta Psychiatr Scand,4.694"
CANADIAN MEDICAL ASSOCIATION JOURNAL	Can. Med. Assoc. J.	Can Med Assoc J	"Can Med Assoc J,6.938"
Molecular Neurodegeneration	Mol. Neurodegener.	Mol Neurodegener	"Mol Neurodegener,8.274"
BMC BIOLOGY	BMC Biol.	BMC Biol	"BMC Biol,6.723"
IEEE Transactions on Industrial Informatics	#N/A	Ieee Transactions On Industrial Informatics	"Ieee Transactions On Industrial Informatics,7.377"
ACS Photonics	#N/A	Acs Photonics	"Acs Photonics,7.143"
Geochemical Perspectives	#N/A	Geochemical Perspectives	"Geochemical Perspectives,5.750"
ACM COMPUTING SURVEYS	#N/A	Acm Comput Surv	"Acm Comput Surv,6.131"
CHEMISTRY & BIOLOGY	Chem. Biol.	Chem Biol	#N/A
PROGRESS IN PHOTOVOLTAICS	#N/A	Prog Photovoltaics	"Prog Photovoltaics,7.776"
DIABETES OBESITY & METABOLISM	#N/A	Diabetes Obes Metab	"Diabetes Obes Metab,6.133"
AGING CELL	#N/A	Aging Cell	"Aging Cell,7.346"
Earth System Science Data	#N/A	Earth System Science Data	"Earth System Science Data,10.951"
MOLECULAR THERAPY	Mol. Ther.	Mol Ther	"Mol Ther,8.402"
MAYO CLINIC PROCEEDINGS	Mayo Clin. Proc.	Mayo Clin Proc	"Mayo Clin Proc,7.091"
AMERICAN PSYCHOLOGIST	Am. Psychol.	Am Psychol	"Am Psychol,3.602"
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS	Crit. Rev. Ther. Drug Carrier Syst.	Crit Rev Ther Drug Carrier Syst	"Crit Rev Ther Drug Carrier Syst,2.900"
QUARTERLY JOURNAL OF ECONOMICS	#N/A	Quart J Econ	"Quart J Econ,11.775"
JOURNAL OF NUCLEAR MEDICINE	J. Nucl. Med.	J Nucl Med	"J Nucl Med,7.354"
IEEE Transactions on Smart Grid	#N/A	Ieee Transactions On Smart Grid	"Ieee Transactions On Smart Grid,10.486"
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	Crit. Rev. Biochem. Mol. Biol.	Crit Rev Biochem Mol Biol	"Crit Rev Biochem Mol Biol,6.069"
CURRENT OPINION IN MICROBIOLOGY	Curr. Opin. Microbiol.	Curr Opin Microbiol	"Curr Opin Microbiol,6.916"
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY	Semin. Cell Dev. Biol.	Semin Cell Dev Biol	"Semin Cell Dev Biol,5.460"
PLoS Pathogens	PLoS Path.	PLoS Pathog	"PLoS Pathog,6.463"
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	#N/A	Arterioscler Thromb Vasc Biol	"Arterioscler Thromb Vasc Biol,6.618"
Journal of Thoracic Oncology	J. Thorac. Oncol.	J Thorac Oncol	"J Thorac Oncol,12.460"
ORGANIC LETTERS	#N/A	Org Lett	"Org Lett,6.555"
CEREBRAL CORTEX	Cereb. Cortex	Cereb Cortex	"Cereb Cortex,5.437"
BRITISH JOURNAL OF SPORTS MEDICINE	Br. J. Sports Med.	Br J Sports Med	"Br J Sports Med,11.645"
CRITICAL REVIEWS IN BIOTECHNOLOGY	Crit. Rev. Biotechnol.	Crit Rev Biotechnol	"Crit Rev Biotechnol,7.054"
MOLECULAR & CELLULAR PROTEOMICS	Mol. Cell. Proteomics	Mol Cell Proteomics	"Mol Cell Proteomics,4.828"
INTERNATIONAL JOURNAL OF CANCER	Int. J. Cancer	Int J Cancer	"Int J Cancer,4.982"
GASTROINTESTINAL ENDOSCOPY	Gastrointest. Endosc.	Gastrointest Endosc	"Gastrointest Endosc,7.229"
Science Signaling	#N/A	Science Signaling	"Science Signaling,6.481"
Polymer Reviews	#N/A	Polymer Reviews	"Polymer Reviews,6.766"
PLANT PHYSIOLOGY	Plant Physiol.	Plant Physiol	"Plant Physiol,6.305"
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES	#N/A	Crit Rev Solid State Mat Sci	"Crit Rev Solid State Mat Sci,6.455"
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	J. Am. Acad. Child Adolesc. Psychiatry	J Am Acad Child Adolesc Psychiatry	"J Am Acad Child Adolesc Psychiatry,6.391"
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	J. Am. Acad. Child Adolesc. Psychiatry	J Am Acad Child Adolesc Psychiatry	"J Am Acad Child Adolesc Psychiatry,6.391"
AMERICAN JOURNAL OF BIOETHICS	#N/A	Am J Bioeth	"Am J Bioeth,5.786"
AMERICAN JOURNAL OF BIOETHICS	#N/A	Am J Bioeth	"Am J Bioeth,5.786"
Frontiers in Immunology	Front. Immunol.	Front Immunol	"Front Immunol,4.716"
Nanotoxicology	#N/A	Nanotoxicology	"Nanotoxicology,5.955"
NEUROPSYCHOPHARMACOLOGY	Neuropsychopharmacology	Neuropsychopharmacology	"Neuropsychopharmacology,7.160"
DRUG DELIVERY	Drug Deliv.	Drug Deliv	"Drug Deliv,3.829"
JOURNAL OF POWER SOURCES	#N/A	J Power Sources	"J Power Sources,7.467"
Molecular Therapy-Nucleic Acids	#N/A	Molecular Therapy-Nucleic Acids	"Molecular Therapy-Nucleic Acids,5.919"
Nature Reviews Disease Primers	#N/A	Nature Reviews Disease Primers	"Nature Reviews Disease Primers,32.274"
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	#N/A	Isprs J Photogramm	"Isprs J Photogramm,6.942"
CANCER LETTERS	Cancer Lett.	Cancer Lett	"Cancer Lett,6.508"
Circulation-Heart Failure	#N/A	Circulation-Heart Failure	"Circulation-Heart Failure,6.526"
DRUG DISCOVERY TODAY	Drug Discov. Today	Drug Discov Today	"Drug Discov Today,6.880"
NEUROPSYCHOLOGY REVIEW	Neuropsychol. Rev.	Neuropsychol Rev	"Neuropsychol Rev,5.739"
NEUROPSYCHOLOGY REVIEW	Neuropsychol. Rev.	Neuropsychol Rev	"Neuropsychol Rev,5.739"
Journal of Hematology & Oncology	J. Hematol. Oncol.	J Hematol Oncol	"J Hematol Oncol,8.731"
BRITISH JOURNAL OF PSYCHIATRY	Br. J. Psychiatry	Br J Psychiatry	"Br J Psychiatry,7.233"
BRITISH JOURNAL OF PSYCHIATRY	Br. J. Psychiatry	Br J Psychiatry	"Br J Psychiatry,7.233"
BREAST CANCER RESEARCH	Breast Cancer Res.	Breast Cancer Res	"Breast Cancer Res,5.676"
IEEE Computational Intelligence Magazine	#N/A	Ieee Computational Intelligence Magazine	"Ieee Computational Intelligence Magazine,5.857"
BLOOD REVIEWS	Blood Rev.	Blood Rev	"Blood Rev,6.125"
ANTIOXIDANTS & REDOX SIGNALING	#N/A	Antioxidants & Redox Signaling	"Antioxidants & Redox Signaling,5.828"
CARBON	#N/A	Carbon	"Carbon,7.466"
Redox Biology	#N/A	Redox Biology	"Redox Biology,7.793"
International Journal of Neural Systems	Int. J. Neural Syst.	Int J Neural Syst	"Int J Neural Syst,6.400"
TRENDS IN PARASITOLOGY	Trends Parasitol.	Trends Parasitol	"Trends Parasitol,8.020"
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	#N/A	Global Environ Change	"Global Environ Change,10.427"
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	#N/A	Global Environ Change	"Global Environ Change,10.427"
ANALYTICAL CHEMISTRY	Anal. Chem.	Anal Chem	"Anal Chem,6.350"
Acta Biomaterialia	Acta Biomater.	Acta Biomater	"Acta Biomater,6.638"
CHEMICAL COMMUNICATIONS	#N/A	Chem Commun	"Chem Commun,6.164"
Journal of the International AIDS Society	J. Int. AIDS Soc.	J Int AIDS Soc	"J Int AIDS Soc,5.192"
Therapeutic Advances in Medical Oncology	Ther. Adv. Med. Oncol.	Ther Adv Med Oncol	"Ther Adv Med Oncol,5.670"
JOURNAL OF INVESTIGATIVE DERMATOLOGY	J. Invest. Dermatol.	J Invest Dermatol	"J Invest Dermatol,6.290"
JOURNAL OF BONE AND MINERAL RESEARCH	J. Bone Miner. Res.	J Bone Miner Res	"J Bone Miner Res,5.711"
CRITICAL REVIEWS IN MICROBIOLOGY	Crit. Rev. Microbiol.	Crit Rev Microbiol	"Crit Rev Microbiol,5.697"
JOURNAL OF INFECTIOUS DISEASES	J. Infect. Dis.	J Infect Dis	"J Infect Dis,5.045"
Annual Review of Environment and Resources	Annu. Rev. Environ. Resour.	Annu Rev Environ Resour	"Annu Rev Environ Resour,8.617"
Annual Review of Environment and Resources	Annu. Rev. Environ. Resour.	Annu Rev Environ Resour	"Annu Rev Environ Resour,8.617"
Advances in Cancer Research	Adv. Cancer Res.	Adv Cancer Res	"Adv Cancer Res,4.667"
REMOTE SENSING OF ENVIRONMENT	Remote Sens. Environ.	Remote Sens Environ	"Remote Sens Environ,8.218"
JOURNAL OF MEDICINAL CHEMISTRY	J. Med. Chem.	J Med Chem	"J Med Chem,6.054"
EDUCATIONAL PSYCHOLOGIST	Educ. Psychol.	Educ Psychol	"Educ Psychol,5.956"
ACTA NUMERICA	#N/A	Acta Numerica	"Acta Numerica,7.417"
BRITISH JOURNAL OF ANAESTHESIA	Br. J. Anaesth.	Br J Anaesth	"Br J Anaesth,6.199"
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	#N/A	J Child Psychol Psychiat	"J Child Psychol Psychiat,6.129"
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	#N/A	J Child Psychol Psychiat	"J Child Psychol Psychiat,6.129"
CHEMICAL ENGINEERING JOURNAL	Chem. Eng. J.	Chem Eng J	"Chem Eng J,8.355"
SEMINARS IN ONCOLOGY	Semin. Oncol.	Semin Oncol	"Semin Oncol,3.606"
Molecular Cancer	Mol. Cancer	Mol Cancer	"Mol Cancer,10.679"
MOLECULAR BIOLOGY AND EVOLUTION	Mol. Biol. Evol.	Mol Biol Evol	"Mol Biol Evol,14.797"
GLIA	Glia	Glia	"Glia,5.829"
ENVIRONMENTAL SCIENCE & TECHNOLOGY	Environ. Sci. Technol.	Environ Sci Technol	"Environ Sci Technol,7.149"
Alzheimers Research & Therapy	#N/A	Alzheimers Research & Therapy	"Alzheimers Research & Therapy,6.142"
MOLECULAR NEUROBIOLOGY	Mol. Neurobiol.	Mol Neurobiol	"Mol Neurobiol,4.586"
INTERNATIONAL JOURNAL OF CARDIOLOGY	Int. J. Cardiol.	Int J Cardiol	"Int J Cardiol,3.471"
BMJ Quality & Safety	#N/A	Bmj Quality & Safety	"Bmj Quality & Safety,7.043"
BMJ Quality & Safety	#N/A	Bmj Quality & Safety	"Bmj Quality & Safety,7.043"
ACS Macro Letters	#N/A	Acs Macro Letters	"Acs Macro Letters,5.775"
BRITISH JOURNAL OF CANCER	Br. J. Cancer	Br J Cancer	"Br J Cancer,5.416"
PLANT CELL AND ENVIRONMENT	#N/A	Plant Cell Environ	"Plant Cell Environ,5.624"
AMERICAN JOURNAL OF TRANSPLANTATION	Am. J. Transplantation	Am J Transplant	"Am J Transplant,7.163"
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	#N/A	Catal Rev-Sci Eng	"Catal Rev-Sci Eng,9.000"
NEUROSIGNALS	#N/A	Neurosignals	#N/A
